"date","value"
"2021-01-16",0.00955371183054653
"2021-01-17",0.0743151371206204
"2021-01-18",0.0353550605051981
"2021-01-19",0.0225128486906643
"2021-01-20",0.0110613009316525
"2021-01-21",0.0629284948881492
"2021-01-22",0.0259493258653212
"2021-01-23",0.0418421759149379
"2021-01-24",0.0810440137103681
"2021-01-25",0.0189320949606451
"2021-01-26",0.0117155246673504
"2021-01-29",0.00044247078984485
"2021-01-30",0.0825177733134813
"2021-01-31",0.0590237885227724
"2021-02-01",0.00743867268494537
"2021-02-02",0.00864437606525299
"2021-02-03",0.0264886718709482
"2021-02-04",0.0189676830709883
"2021-02-05",0.00960799053018161
"2021-02-06",0.0549750475848796
"2021-02-07",0.0456550449137064
"2021-02-08",0.0133550249632814
"2021-02-11",0.00177813386031736
"2021-02-12",0.00125373471896188
"2021-02-13",0.00136213900574092
"2021-02-17",0.035370247961407
"2021-02-20",0.102428800529889
"2021-02-21",0.0624992663860794
"2021-02-22",0.0104154995006391
"2021-02-23",0.0208527654882823
"2021-02-24",0.0237670517035344
"2021-02-25",0.100718101051325
"2021-02-26",0.0689569234585691
"2021-02-27",0.00993950072788946
"2021-02-28",0.000415164256737354
"2021-03-01",0.00643687692474059
"2021-03-02",0.00894654174886134
"2021-03-03",0.0445336847965164
"2021-03-06",0.000953338516155705
"2021-03-09",0.00354304355963691
"2021-03-10",0.000411178869534197
"2021-03-13",0.00106455378504043
"2021-03-14",4.28847830417277e-05
"2021-03-15",2.41569877987457e-05
"2021-03-18",0.0434591553223559
"2021-03-21",0.149259590087069
"2021-03-22",0.058162284285084
"2021-03-25",0.0253752099797744
"2021-03-26",0.0412226043270878
"2021-03-27",0.0258154395674122
"2021-04-03",0.0570951314481729
"2021-04-04",0.199235830596731
"2021-04-05",0.102796711804704
"2021-04-06",0.163309875674842
"2021-04-07",0.19265350676045
"2021-04-08",0.201103915369905
"2021-04-09",0.205870020958801
"2021-04-10",0.193049627196421
"2021-04-11",0.305617330938394
"2021-04-12",0.235540197822042
"2021-04-13",0.626965146225733
"2021-04-14",0.442434082258485
"2021-04-15",0.448856191034451
"2021-04-16",0.53831971343576
"2021-04-17",0.365167213240174
"2021-04-18",0.376350691313122
"2021-04-19",0.331579267242078
"2021-04-20",0.576638856699875
"2021-04-21",0.598480580208321
"2021-04-22",0.473000872376764
"2021-04-23",0.414575891260224
"2021-04-24",0.407394214914477
"2021-04-25",0.464139613634491
"2021-04-26",0.330729066470611
"2021-04-29",0.462898976114976
"2021-04-30",0.485556992237418
"2021-05-01",0.475777911106466
"2021-05-02",0.64273020946356
"2021-05-05",0.543846407313114
"2021-05-06",0.440115191276768
"2021-05-07",0.346273934954264
"2021-05-08",0.277890096388595
"2021-05-09",0.280396046773966
"2021-05-12",0.663221083887087
"2021-05-13",0.465305867484569
"2021-05-17",0.125986605226903
"2021-05-20",0.569681849146101
"2021-05-21",0.442915492231371
"2021-05-22",0.464918749740875
"2021-05-23",0.49055247771185
"2021-05-24",0.0355803453203508
"2021-05-25",0.119368459960816
"2021-05-26",0.277853160184962
"2021-05-29",0.730405805634173
"2021-05-30",0.904347585863038
"2021-05-31",0.546875068698539
"2021-06-01",0.645821024597151
"2021-06-02",1.23107271648238
"2021-06-03",1.58081213423874
"2021-06-04",1.07166857320463
"2021-06-05",1.12028575181901
"2021-06-07",0.269771441389283
"2021-06-08",0.538373605558566
"2021-06-09",0.90672745854442
"2021-06-10",0.356105193843823
"2021-06-11",0.509616052159635
"2021-06-12",0.380907167503151
"2021-06-13",0.530434385840185
"2021-06-14",0.4843991676936
"2021-06-15",0.836430118306933
"2021-06-16",0.707593940661728
"2021-06-17",1.23727150978575
"2021-06-18",1.56953152936284
"2021-06-19",2.5063394454112
"2021-06-20",2.55447898509812
"2021-06-21",3.21196835618664
"2021-06-22",2.36251329980397
"2021-06-23",3.27394688227239
"2021-06-24",2.1945352189959
"2021-06-25",1.68582516591883
"2021-06-26",2.05609284513447
"2021-06-27",1.59312832828675
"2021-06-28",1.51843302222335
"2021-06-29",1.7228525869145
"2021-06-30",1.57244277302767
"2021-07-01",0.966053659423298
"2021-07-02",0.536206193102694
"2021-07-05",1.37969930494404
"2021-07-06",0.824576838650495
"2021-07-07",2.64767134772415
"2021-07-08",1.67577846035208
"2021-07-09",0.565099791231967
"2021-07-10",1.48409021805978
"2021-07-11",0.728986235936679
"2021-07-12",1.77082971087886
"2021-07-13",1.62082278836776
"2021-07-14",1.64196207970569
"2021-07-15",1.23363854466229
"2021-07-16",1.1470502650043
"2021-07-17",1.42908326790621
"2021-07-18",1.85776311433429
"2021-07-21",2.95442956496729
"2021-07-22",3.38494260838815
"2021-07-23",4.75333814053929
"2021-07-24",7.37387827780419
"2021-07-25",14.9794749726319
"2021-07-26",1.12382026870787
"2021-07-27",4.06717090406565
"2021-07-28",4.43491345440334
"2021-07-29",3.70851296833639
"2021-07-30",2.81301872065076
"2021-07-31",3.20568660646918
"2021-08-01",1.76732989491524
"2021-08-02",0.184128980796966
"2021-08-03",1.08729491927438
"2021-08-04",2.51076559610417
"2021-08-05",3.52567890087128
"2021-08-06",2.82481667238206
"2021-08-09",2.12439270551885
"2021-08-10",1.25305251881132
"2021-08-11",1.57557898703539
"2021-08-12",2.82897845258196
"2021-08-13",2.53680675639747
"2021-08-14",3.96287436751732
"2021-08-15",4.92710664390527
"2021-08-16",1.44509711260143
"2021-08-17",1.18514965151634
"2021-08-18",3.51327176711355
"2021-08-19",2.20209308909662
"2021-08-20",1.50212572846434
"2021-08-21",2.29775089312061
