Month,Monthly Nominal GDP Index,Monthly Real GDP Index
2006 - Oct,13966.402,15367.729
2006 - Nov,14060.185,15476.482
2006 - Dec,14092.093,15457.501
2007 - Jan,14135.369,15444.551
2007 - Feb,14286.268,15546.384
2007 - Mar,14225.316,15446.628
2007 - Apr,14362.868,15575.686
2007 - May,14401.026,15570.025
2007 - Jun,14442.352,15588.144
2007 - Jul,14423.326,15537.655
2007 - Aug,14600.934,15722.348
2007 - Sep,14668.091,15755.248
2007 - Oct,14664.948,15733.873
2007 - Nov,14714.356,15758.801
2007 - Dec,14765.871,15809.22
2008 - Jan,14801.668,15842.539
2008 - Feb,14627.514,15621.394
2008 - Mar,14690.432,15645.301
2008 - Apr,14758.056,15695.029
2008 - May,14802.334,15735.256
2008 - Jun,15036.713,15947.923
2008 - Jul,14973.237,15816.195
2008 - Aug,14917.111,15742.36
2008 - Sep,14806.65,15570.385
2008 - Oct,14695.496,15447.091
2008 - Nov,14698.443,15461.47
2008 - Dec,14430.685,15191.441
2009 - Jan,14478.972,15229.969
2009 - Feb,14443.119,15180.048
2009 - Mar,14370.612,15152.707
2009 - Apr,14360.213,15148.192
2009 - May,14377.778,15166.061
2009 - Jun,14405.717,15171.239
2009 - Jul,14376.453,15152.479
2009 - Aug,14479.839,15244.807
2009 - Sep,14490.355,15252.91
2009 - Oct,14694.245,15452.291
2009 - Nov,14664.527,15385.206
2009 - Dec,14594.972,15300.197
2010 - Jan,14707.844,15399.847
2010 - Feb,14735.337,15435.97
2010 - Mar,14850.652,15532.392
2010 - Apr,14944.104,15593.251
2010 - May,14957.418,15574.433
2010 - Jun,15039.057,15649.458
2010 - Jul,15111.765,15721.37
2010 - Aug,15108.658,15690.66
2010 - Sep,15204.392,15766.975
2010 - Oct,15287.069,15808.386
2010 - Nov,15265.152,15761.068
2010 - Dec,15376.192,15854.665
2011 - Jan,15257.648,15714.307
2011 - Feb,15282.022,15692.279
2011 - Mar,15514.662,15903.115
2011 - Apr,15584.335,15941.11
2011 - May,15566.673,15869.869
2011 - Jun,15521.596,15819.676
2011 - Jul,15615.789,15863.207
2011 - Aug,15715.935,15935.396
2011 - Sep,15611.319,15813.636
2011 - Oct,15857.665,16080.798
2011 - Nov,15838.489,16034.946
2011 - Dec,15830.648,16030.596
2012 - Jan,15937.027,16081.873
2012 - Feb,16213.148,16317.574
2012 - Mar,16056.296,16140.352
2012 - Apr,16182.92,16236.146
2012 - May,16221.451,16274.642
2012 - Jun,16217.019,16250.356
2012 - Jul,16319.618,16323.362
2012 - Aug,16273.206,16236.631
2012 - Sep,16365.797,16286.484
2012 - Oct,16332.339,16216.143
2012 - Nov,16406.715,16294.778
2012 - Dec,16522.105,16389.3
2013 - Jan,16676.08,16515.922
2013 - Feb,16576.422,16371.961
2013 - Mar,16634.649,16436.856
2013 - Apr,16648.728,16448.995
2013 - May,16653.345,16421.945
2013 - Jun,16796.581,16522.538
2013 - Jul,16850.51,16556.289
2013 - Aug,16934.254,16618.409
2013 - Sep,16948.44,16609.816
2013 - Oct,17052.244,16679.599
2013 - Nov,17171.551,16751.107
2013 - Dec,17175.547,16707.863
2014 - Jan,17073.547,16606.419
2014 - Feb,17161.145,16677.995
2014 - Mar,17198.151,16678.673
2014 - Apr,17354.386,16803.385
2014 - May,17475.978,16865.09
2014 - Jun,17557.745,16936.229
2014 - Jul,17693.878,17027.115
2014 - Aug,17797.587,17117
2014 - Sep,17738.215,17050.119
2014 - Oct,17846.123,17144.336
2014 - Nov,17872.003,17154.189
2014 - Dec,17839.494,17125.52
2015 - Jan,17928.617,17276.597
2015 - Feb,18057.887,17352.943
2015 - Mar,17987.54,17212.541
2015 - Apr,18157.684,17398.245
2015 - May,18177.225,17348.067
2015 - Jun,18246.212,17396.513
2015 - Jul,18276.105,17405.645
2015 - Aug,18285.438,17409.139
2015 - Sep,18359.337,17496.772
2015 - Oct,18353.627,17486.979
2015 - Nov,18297.799,17425.567
2015 - Dec,18344.811,17475.512
2016 - Jan,18395.922,17547.693
2016 - Feb,18361.186,17517.672
2016 - Mar,18518.81,17631.363
2016 - Apr,18596.985,17636.803
2016 - May,18586.989,17590.013
2016 - Jun,18650.877,17629.073
2016 - Jul,18662.937,17630.632
2016 - Aug,18776.709,17740.044
2016 - Sep,18886.731,17802.726
2016 - Oct,18862.392,17740.775
2016 - Nov,18981.322,17832.579
2016 - Dec,19060.409,17864.323
2017 - Jan,19100.123,17861.283
2017 - Feb,19138.481,17879.408
2017 - Mar,19223.132,17949.331
2017 - Apr,19202.999,17903.317
2017 - May,19327.377,18005.302
2017 - Jun,19438.384,18082.038
2017 - Jul,19453.063,18081.555
2017 - Aug,19530.56,18109.049
2017 - Sep,19692.456,18188.317
2017 - Oct,19744.497,18195.449
2017 - Nov,19911.503,18326.192
2017 - Dec,19992.896,18368.693
2018 - Jan,20054.187,18398.135
2018 - Feb,20197.019,18490.079
2018 - Mar,20179.943,18420.798
2018 - Apr ,20390.65,18547.997
2018 - May,20509.286,18595.768
2018 - Jun,20577.539,18626.464
2018 - Jul,20591.487,18634.399
2018 - Aug,20691.394,18721.718
2018 - Sep,20694.425,18682.946
2018 - Oct,20825.622,18751.323
2018 - Nov,20779.76,18665.88
2018 - Dec,20834.594,18746.957
2019 - Jan,20983.108,18847.63
2019 - Feb,20989.767,18822.034
2019 - Mar,21031.898,18830.133
2019 - Apr,21197.879,18912.907
2019 - May,21274.973,18961.452
2019 - Jun,21394.951,19073.339
2019 - Jul,21459.984,19093.773
2019 - Aug,21506.747,19109.124
2019 - Sep,21548.305,19135.199
2019 - Oct,21634.581,19165.189
2019 - Nov,21706.822,19219.218
2019 - Dec,21741.971,19222.683
2020 - Jan,21784.087,19222.495
2020 - Feb,21918.288,19354.807
2020 - Mar,20741.726,18278.785
2020 - Apr,18512.707,16445.491
2020 - May,19367.583,17184.333
2020 - Jun,20552.042,18147.315
2020 - Jul,20856.255,18335.636
2020 - Aug,21140.331,18578.616
2020 - Sep,21419.136,18771.542
2020 - Oct,21620.224,18930.919
2020 - Nov,21384.243,18708.49
2020 - Dec,21428.325,18666.58
2021 - Jan,22019.023,19113.797
2021 - Feb,21722.39,18800.368
2021 - Mar,22373.265,19255.92
2021 - Apr,22603.469,19344.223
2021 - May,22715.024,19351.011
2021 - June,22904.384,19412.838
2021 - July,22938.674,19336.69
2021 - Aug,23250.732,19524.017
2021 - Sep,23383.017,19565.166
